,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,price_log,distrito_barajas,distrito_carabanchel,distrito_centro,distrito_chamartín,distrito_chamberí,distrito_ciudad_lineal,distrito_fuencarral___el_pardo,distrito_hortaleza,distrito_latina,distrito_moncloa___aravaca,distrito_moratalaz,distrito_puente_de_vallecas,distrito_retiro,distrito_salamanca,distrito_san_blas___canillejas,distrito_tetuán,distrito_usera,distrito_vicálvaro,distrito_villa_de_vallecas,distrito_villaverde,rt_hotel_room,rt_private_room,rt_shared_room,air_conditioning,kitchen_and_else,tv,wifi,white_goods,elevator,long_term_stays,Sentiment_Score_Afinn,commo
13119,1118975693374406040,1,100,99,0.0,2.0,4,1,2,3,102.0,1,365,103,45,45,4.42,4.49,4.47,4.69,4.84,4.8,4.33,0,4.09,4.624972813284271,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,6.431818181818182,1
13121,1119328150887420690,1,100,99,0.0,26.0,2,4,1,8,40.0,1,365,240,2,2,4.0,4.0,5.0,4.5,4.0,5.0,4.5,1,0.26,3.6888794541139363,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,4.5,1
13122,1122462571392436902,1,100,100,0.0,20.0,2,3,1,0,35.0,1,120,0,32,32,4.06,4.34,4.06,4.66,4.44,4.44,4.09,1,2.87,3.5553480614894135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,4.46875,1
13123,1122499227532988969,0,0,29,0.0,2.0,1,0,1,1,100.0,1,365,269,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0.11,4.605170185988092,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,7.0,0
13124,1122614817873323170,3,100,64,1.0,2.0,1,1,1,0,33.0,1,365,269,8,8,4.88,4.88,4.75,4.88,5.0,4.75,5.0,0,0.77,3.4965075614664802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,9.375,1
13125,1122980800648546483,0,0,0,0.0,2.0,1,1,1,1,32.0,1,365,269,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.4657359027997265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
13126,1119335164378283128,1,100,99,0.0,26.0,2,4,1,6,41.0,1,365,188,5,5,4.6,4.6,4.4,4.4,3.8,4.6,4.4,1,0.54,3.713572066704308,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,6.6,1
13127,1119344570723980043,1,100,99,0.0,26.0,1,4,1,6,21.0,1,365,186,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,3.044522437723423,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0.0,1
13128,1119440072678564348,2,100,89,1.0,2.0,4,1,0,2,119.0,1,365,219,26,26,5.0,5.0,4.96,4.96,5.0,4.81,4.88,0,2.62,4.77912349311153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,8.26923076923077,1
13129,1119534075511792406,1,100,100,0.0,18.0,4,1,1,2,92.0,1,365,0,28,28,4.5,4.46,4.14,4.71,4.61,4.89,4.32,1,2.42,4.5217885770490405,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,4.037037037037037,1
13130,1119612798430600773,1,100,68,0.0,3.0,3,1,1,1,92.0,3,365,0,25,25,4.52,4.6,4.16,4.84,4.92,4.44,4.44,0,2.34,4.5217885770490405,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,6.28,1
13131,1119641360792742851,1,100,99,1.0,28.0,4,1,2,3,134.0,1,365,49,19,19,4.89,4.89,4.79,4.95,4.84,5.0,4.84,1,1.67,4.897839799950911,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,8.31578947368421,0
13132,1119688801340901176,1,100,98,0.0,4.0,7,1,2,4,186.0,1,365,39,1,1,3.0,3.0,2.0,3.0,5.0,5.0,3.0,1,0.13,5.225746673713202,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,-3.0,1
13133,1119705438342708641,1,100,98,0.0,4.0,5,1,0,4,173.0,1,365,25,4,4,4.75,4.75,4.5,4.75,4.75,5.0,4.75,1,0.7,5.153291594497779,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2.0,0
13134,1123002088688482584,1,100,76,1.0,3.0,5,1,2,2,314.0,1,729,125,17,17,4.76,4.76,5.0,4.76,4.94,5.0,4.76,0,1.51,5.749392985908253,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,8.352941176470589,1
13135,1123017381407802984,1,98,100,0.0,28.0,2,1,1,1,56.0,1,365,34,111,111,4.51,4.66,4.7,4.8,4.73,4.59,4.59,1,10.25,4.02535169073515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,5.4363636363636365,1
